Número de Línea,Texto,Clasificación,Polaridad,Librería
342,"El soporte técnico es lento, pero efectivo al final.",neutro,0.0,pysentimiento
343,"Odoo es potente, la implementación fue correcta.",positivo,0.948,pysentimiento
344,"No saben configurar los webhooks, tuvimos que hacerlo nosotros.",negativo,-0.296,vader
345,Recibimos la documentación el lunes.,neutro,0.0,pysentimiento
346,"El sistema es una joya, la eficiencia subió un 30%.",positivo,0.9462,pysentimiento
347,Me vendieron la versión Enterprise pero el soporte es de versión Community.,neutro,0.0,pysentimiento
348,La configuración de la nómina es un laberinto sin salida.,negativo,-0.9292,pysentimiento
349,El despliegue fue satisfactorio.,neutro,0.0,vader
350,"Excelente gestión del cambio, el personal está feliz.",positivo,0.966,pysentimiento
351,Sarcasmo puro: Gracias por borrarme los datos de clientes. 🙃,neutro,0.0,vader
352,El ERP cumple con los requisitos legales del país.,neutro,0.0,pysentimiento
353,El tiempo de respuesta es aceptable.,neutro,0.0,vader
354,"La implementación fue un caos, el equipo no coordinaba nada.",negativo,-0.9797,pysentimiento
355,Me encanta cómo quedaron los reportes de ventas.,positivo,0.9584,pysentimiento
356,"El software funciona, pero la curva de aprendizaje es brutal.",negativo,-0.6249,vader
357,"Un servicio de 10, muy recomendados.",neutro,0.0,vader
358,La parametrización de los almacenes es confusa.,negativo,-0.8572,pysentimiento
359,El sistema está estable desde la última actualización.,neutro,0.0,pysentimiento
360,No pudieron resolver el problema de la sincronización de stock.,negativo,-0.926,pysentimiento
361,El despliegue fue remoto y eficiente.,neutro,0.0,vader
362,La capacitación fue insuficiente para el nivel de complejidad.,negativo,-0.9223,pysentimiento
363,Odoo es la mejor decisión que hemos tomado.,positivo,0.9396,pysentimiento
364,"El servicio fue regular, esperaba más proactividad.",neutro,0.0,pysentimiento
365,Tuvimos errores en la migración de saldos iniciales.,negativo,-0.7455,pysentimiento
366,"El sistema vuela, la optimización fue excelente. 🚀",positivo,0.8482,pysentimiento
367,El consultor no entendía nuestro modelo de negocio.,negativo,-0.596,pysentimiento
368,La instalación fue sencilla y rápida.,positivo,0.8198,pysentimiento
369,El módulo de CRM es básicamente un Excel glorificado.,neutro,0.0,pysentimiento
370,Súper profesional el equipo de implementación.,positivo,0.9536,pysentimiento
371,El soporte es inexistente después de que pagas la factura.,negativo,-0.8951,pysentimiento
372,La transición fue gradual y bien gestionada.,positivo,0.9206,pysentimiento
373,"El ERP es funcional, aunque la UI es un poco saturada.",neutro,0.0,vader
374,"No recomiendo la implementación rápida, dejan todo a medias.",negativo,-0.9447,pysentimiento
375,El sistema es estable en la nube.,neutro,0.0,vader
376,¡Impresionante el nivel de detalle en la configuración!,positivo,0.8799,pysentimiento
377,Tuvimos que contratar a un experto externo para arreglar el desastre.,neutro,0.0,vader
378,El proceso fue lineal y sin complicaciones.,negativo,-0.5574,vader
379,El módulo de contabilidad es un dolor de cabeza constante.,negativo,-0.9772,pysentimiento
380,El servicio fue adecuado al precio pagado.,neutro,0.0,vader
381,Me encanta la automatización de las órdenes de compra.,positivo,0.9261,pysentimiento
382,El despliegue fue improvisado y lleno de errores.,neutro,0.0,vader
383,El software hace lo que dice el manual de Odoo.,neutro,0.0,vader
384,"Excelente comunicación, nos mantuvieron informados siempre.",positivo,0.9476,pysentimiento
385,El sistema es inestable bajo mucha carga de usuarios.,neutro,0.0,vader
386,La configuración de impuestos es correcta.,neutro,0.0,pysentimiento
387,Me siento engañado con las funcionalidades prometidas.,negativo,-0.9185,pysentimiento
388,El despliegue fue exitoso y a tiempo.,neutro,0.0,vader
389,"El consultor fue muy técnico, pero poco pedagógico.",negativo,-0.8754,pysentimiento
390,Súper satisfechos con el resultado final. ✅,positivo,0.8671,pysentimiento
391,La migración de datos fue un proceso tedioso y lento.,negativo,-0.9716,pysentimiento
392,"El ERP es potente, aunque la implementación fue mediocre.",positivo,0.3751,pysentimiento
393,La capacitación fue muy dinámica.,positivo,0.9484,pysentimiento
394,El sistema se bloquea al generar el balance general.,neutro,0.0,vader
395,"El servicio fue neutro, cumplieron el contrato.",neutro,0.0,vader
396,La integración con la pasarela de pagos fue un éxito.,positivo,0.9267,pysentimiento
397,No saben manejar el módulo de manufactura.,negativo,-0.9671,pysentimiento
398,El software es moderno y eficiente.,neutro,0.0,vader
399,"Tuvimos problemas con el servidor, pero lo resolvieron.",neutro,0.0,vader
400,El despliegue fue correcto y sin incidentes.,negativo,-0.5574,vader
401,Me encanta la visibilidad que tengo de mi equipo ahora.,neutro,0.0,vader
402,El soporte es burocrático y lento.,negativo,-0.9605,pysentimiento
403,"Odoo es genial, pero el servicio de implementación fue lento.",negativo,-0.8061,pysentimiento
404,La configuración de los usuarios quedó perfecta.,positivo,0.9385,pysentimiento
405,El sistema es inestable en horas pico.,neutro,0.0,vader
406,El servicio fue profesional y puntual.,neutro,0.0,vader
407,"No recomiendo este equipo, no tienen experiencia en retail.",negativo,-0.5267,vader
408,El despliegue se hizo en el tiempo acordado.,neutro,0.0,vader
409,La automatización de marketing es una herramienta increíble.,positivo,0.8899,pysentimiento
410,El ERP es demasiado complejo para una empresa pequeña.,negativo,-0.9645,pysentimiento
411,Súper agradecido por el soporte post-implementación.,positivo,0.9319,pysentimiento
412,"El sistema es funcional, nada más.",neutro,0.0,pysentimiento
413,"La implementacion fue ok, nada del otro mundo.",neutro,0.0,vader
414,¡ESTOY HARTO DE QUE EL SISTEMA SE CAIGA! 🤬,negativo,-0.977,pysentimiento
415,"El modulo de POS vuela, mis cajeros estan super contentos.",positivo,0.5994,vader
416,El consultor no tenia ni idea de como configurar el inventario.,negativo,-0.296,vader
417,Llegaron a tiempo a la reunion de hoy.,neutro,0.0,vader
418,"Sinceramente, el ERP es un laberinto, no entiendo nada.",negativo,-0.296,vader
419,"Buen servicio, el equipo fue muy proactiva.",neutro,0.0,vader
420,"El software funciona, pero el color de la interfaz es feo.",neutro,0.0,vader
421,"Me vendieron humo con la automatizacion, sigo haciendo todo a mano.",neutro,0.0,vader
422,"Odoo es potente, pero la configuracion fue muy basica.",neutro,0.0,vader
423,Tuvimos un problema con el servidor el lunes pasado.,neutro,0.0,vader
424,¡Increible! La visibilidad de mis ventas subio un 40%. 🚀,neutro,0.0,pysentimiento
425,"No recomiendo este servicio, son muy lentos para responder.",negativo,-0.296,vader
426,"El despliegue fue satisfactorio, todo en orden.",neutro,0.0,vader
427,"La verdad que el soporte es un bajon, no ayudan en nada.",negativo,-0.296,vader
428,Se instalaron los modulos de compras y ventas.,neutro,0.0,vader
429,"El ROI es positivo, recuperamos la inversion rapido.",neutro,0.0,vader
430,"La capacitacion fue un embole, me dormia en la reunion.",neutro,0.0,vader
431,"El sistema es estable, aunque la carga de datos fue lenta.",neutro,0.0,vader
432,"Me encanta como quedaron los reportes, muy visuales. ✅",neutro,0.0,vader
433,Tuvimos que pagar extras que no estaban en el contrato.,negativo,-0.296,vader
434,El consultor fue amable pero no resolvio el problema tecnico.,negativo,-0.296,vader
435,El ERP esta operativo en la oficina central.,neutro,0.0,vader
436,"Pessimo servicio, no saben ni lo que es un flujo de caja.",negativo,-0.296,vader
437,"La migración de datos fue impecable, cero errores.",positivo,0.9569,pysentimiento
438,"El software es intuitivo, el personal se adapto rapido.",neutro,0.0,vader
439,El precio es justo por lo que ofrecen.,neutro,0.0,vader
440,¡Que desastre! Borraron la base de datos de prueba. 😱,negativo,-0.9659,pysentimiento
441,Odoo es una gran herramienta y el servicio fue top.,positivo,0.2023,vader
442,La configuracion de los impuestos fue un dolor de cabeza.,neutro,0.0,vader
443,Recibimos el acceso al sistema el viernes.,neutro,0.0,vader
444,No me gusta como manejaron la comunicacion del proyecto.,negativo,-0.296,vader
445,"El modulo de manufactura es una joya, optimizamos todo.",neutro,0.0,vader
446,"El servicio fue regular, ni bueno ni malo.",neutro,0.0,vader
447,Tardaron siglos en configurar la factura electronica.,neutro,0.0,vader
448,La implementacion fue fluida y sin contratiempos.,negativo,-0.5574,vader
449,Siento que pagamos mucho por algo muy sencillo.,neutro,0.0,vader
450,"El soporte tecnico es aceptable, responden en 24h.",neutro,0.0,vader
451,¡Brillante! El sistema de alertas nos salvo de errores graves.,negativo,-0.9159,pysentimiento
452,El consultor no entendia nuestro modelo de negocio.,negativo,-0.296,vader
453,Se configuraron los permisos de usuario segun la jerarquia.,neutro,0.0,vader
454,La interfaz es limpia y facil de usar.,neutro,0.0,vader
455,"No recomiendo contratar el soporte mensual, es carisimo.",negativo,-0.296,vader
456,"El despliegue fue normal, siguiendo el manual.",neutro,0.0,vader
457,Muy satisfechos con la rapidez de la entrega. 🌟,neutro,0.0,vader
458,El sistema se bloquea cuando hay muchos pedidos.,neutro,0.0,vader
459,Tuvimos una sesion de dudas el miercoles.,neutro,0.0,vader
460,La parametrizacion de la nomina esta llena de errores.,neutro,0.0,vader
461,"El software hace lo que necesitamos, nada mas.",neutro,0.0,vader
462,¡Que gran equipo! Resolvieron todo en tiempo record.,positivo,0.9695,pysentimiento
463,"El servicio post-venta es inexistente, nos dejaron tirados.",neutro,0.0,vader
464,La transicion al nuevo ERP fue gradual.,neutro,0.0,vader
465,El sistema es intuitivo y el personal lo usa bien.,neutro,0.0,vader
466,"Sinceramente, fue una perdida de tiempo y plata.",neutro,0.0,vader
467,Se implementaron los flujos de aprobacion de gastos.,neutro,0.0,vader
468,"Excelente soporte, resolvieron mi duda en minutos.",neutro,0.0,vader
469,El ERP es complejo y la capacitacion fue muy superficial.,neutro,0.0,vader
470,"El despliegue fue normal, sin sobresaltos.",negativo,-0.5574,vader
471,Estoy fascinado con el control que tengo ahora.,neutro,0.0,vader
472,Hubo mucha desorganisacion en las reuniones.,neutro,0.0,vader
473,El sistema funciona bien en Chrome.,neutro,0.0,vader
474,"Un servicio de lujo, el despliegue fue perfecto.",positivo,0.3182,vader
475,El modulo de contabilidad no cuadra con la realidad.,negativo,-0.296,vader
476,El costo se mantuvo dentro del presupuesto.,neutro,0.0,vader
477,La herramienta es util pero la curva de aprendizaje es alta.,neutro,0.0,vader
478,No pudieron resolver la integracion con el banco.,negativo,-0.4055,vader
479,"Super profesionales, el ERP quedo a medida.",positivo,0.5994,vader
480,El proceso de instalacion fue sencillo.,neutro,0.0,vader
481,Me parece que el sistema es demasiado para lo que ocupamos.,neutro,0.0,vader
482,"El soporte es mediocre, solo dan respuestas copiadas.",neutro,0.0,vader
483,¡Por fin un ERP que no es una pesadilla!,positivo,0.6685,pysentimiento
484,Se configuraron los accesos remotos.,neutro,0.0,vader
485,"El despliegue fue improvisado, se noto la falta de experiencia.",neutro,0.0,vader
486,"La calidad del servicio es excepcional, recomendados.",neutro,0.0,vader
487,"Odoo es bueno, pero la configuracion fue pobre.",neutro,0.0,vader
488,Tuvimos que hacer ajustes manuales por errores del consultor.,neutro,0.0,vader
489,El sistema esta en modo produccion desde ayer.,neutro,0.0,vader
490,Muy contentos con la rapidez de la implementacion.,neutro,0.0,vader
491,El modulo de ventas es confuso y la gente se queja.,neutro,0.0,vader
492,El servicio fue adecuado para el precio.,neutro,0.0,vader
493,El equipo tecnico domina Odoo al 100%.,neutro,0.0,vader
494,Tardaron semanas en hacer un reporte simple.,neutro,0.0,vader
495,"La implementacion fue estandar, sin cambios.",negativo,-0.5574,vader
496,El ROI ha sido impresionante. 💰,positivo,0.34,vader
497,El sistema es lento con mas de 15 usuarios.,neutro,0.0,vader
498,La comunicacion fue fluida por Whatsapp.,neutro,0.0,vader
499,"No cumplieron los plazos, un desastre total.",negativo,-0.296,vader
500,"La herramienta es potente, requiere buen servidor.",neutro,0.0,vader
501,Me encanta la flexibilidad de la configuracion.,neutro,0.0,vader
502,El consultor fue distante y no mostro interes.,negativo,-0.296,vader
503,Se instalo el modulo de CRM y el de Almacenes.,neutro,0.0,vader
504,"El servicio fue impecable, de principio a fin.",neutro,0.0,vader
505,La migracion de datos dejo muchos campos vacios.,neutro,0.0,vader
506,"El ERP es funcional, cumple el contrato.",neutro,0.0,vader
507,"Super mala experiencia, no responden los mails.",positivo,0.4019,vader
508,La capacitacion fue dinamica y util.,neutro,0.0,vader
509,El sistema es estable pero la UI se siente vieja.,neutro,0.0,vader
510,Logramos reducir el tiempo de facturacion. ¡Genial!,positivo,0.9533,pysentimiento
511,El despliegue tuvo errores criticos al inicio.,neutro,0.0,vader
512,Recibimos el manual en PDF.,neutro,0.0,vader
513,"Un trabajo impecable, el sistema vuela. ⚡",neutro,0.0,vader
514,No saben configurar la localizacion fiscal.,negativo,-0.296,vader
515,"El proceso fue normal, sin grandes fallos.",negativo,-0.5574,vader
516,El sistema es aceptable.,neutro,0.0,vader
517,¡Una joya! El módulo de MRP optimizó nuestra planta de producción. ⚙️,positivo,0.8493,pysentimiento
518,"El soporte técnico no cumple con los SLAs acordados, son lentos.",negativo,-0.9653,pysentimiento
519,"La implementación fue correcta, aunque el presupuesto se excedió un poco.",positivo,0.5346,pysentimiento
520,Me parece que el software es demasiado complejo para nuestro flujo.,neutro,0.0,vader
521,Súper contentos con la integración de la pasarela de pagos.,positivo,0.9373,pysentimiento
522,El consultor fue muy profesional durante las pruebas UAT.,neutro,0.0,vader
523,"No recomiendo el servicio, hubo demasiados cuellos de botella.",negativo,-0.296,vader
524,"Odoo es potente, pero la configuración de la empresa fue mediocre.",negativo,-0.8644,pysentimiento
525,Recibimos el informe de avance el jueves pasado.,neutro,0.0,vader
526,"El sistema de inventarios es un caos, nada cuadra con el físico. ❌",negativo,-0.9661,pysentimiento
527,"Excelente gestión de los tiempos, terminaron antes de lo previsto.",neutro,0.0,pysentimiento
528,"La interfaz es intuitiva, pero el rendimiento en la nube es regular.",neutro,0.0,vader
529,Siento que la capacitación fue muy superficial para los usuarios.,negativo,-0.9698,pysentimiento
530,Todo funciona según lo planeado en el cronograma.,neutro,0.0,pysentimiento
531,El módulo de CRM nos ayudó a cerrar más ventas este trimestre.,neutro,0.0,pysentimiento
532,"El despliegue fue un desastre, el sistema estuvo caído dos días.",negativo,-0.9598,pysentimiento
533,El precio es competitivo comparado con SAP o Oracle.,neutro,0.0,vader
534,¡Increíble! La automatización de la contabilidad nos ahorra días de trabajo.,positivo,0.8202,pysentimiento
535,El consultor no sabía explicar la diferencia entre variantes y modelos.,neutro,0.0,pysentimiento
536,La migración de datos fue tediosa pero exitosa.,neutro,0.0,pysentimiento
537,"Un servicio mediocre, se nota que no conocen nuestro sector.",negativo,-0.296,vader
538,"El ERP está operativo, aunque faltan algunos ajustes menores.",neutro,0.0,pysentimiento
539,Súper agradecido por la paciencia del equipo técnico. ✅,positivo,0.9412,pysentimiento
540,La configuración de la localización fiscal es errónea.,negativo,-0.8833,pysentimiento
541,"El sistema es estable, no hemos tenido caídas críticas.",neutro,0.0,pysentimiento
542,Me encanta la visibilidad de los KPIs en el tablero principal.,neutro,0.0,vader
543,"El soporte es muy burocrático, piden demasiados requisitos.",negativo,-0.9702,pysentimiento
544,"La implementación se dividió en tres fases, todo normal.",neutro,0.0,pysentimiento
545,¡Qué horror! El módulo de nómina calcula mal las horas extra. 😡,negativo,-0.9788,pysentimiento
546,"Odoo es una herramienta fantástica, el servicio fue el esperado.",positivo,0.9733,pysentimiento
547,El proceso de preventa prometió cosas que la implementación no dio.,negativo,-0.5367,pysentimiento
548,"La herramienta es útil, pero requiere un servidor muy potente.",positivo,0.8087,pysentimiento
549,Tuvimos problemas con la sincronización de la tienda online.,negativo,-0.9003,pysentimiento
550,Muy profesional el análisis de procesos inicial.,positivo,0.9071,pysentimiento
551,El software es lento al generar el libro mayor.,neutro,0.0,vader
552,La capacitación fue dinámica y el material es muy útil.,positivo,0.9735,pysentimiento
553,"No me gusta la actitud del gestor del proyecto, es muy distante.",negativo,-0.296,vader
554,El despliegue fue satisfactorio y sin errores graves.,negativo,-0.7003,vader
555,"El sistema es funcional, cumple con los requerimientos básicos.",neutro,0.0,pysentimiento
556,¡Brillante! Logramos reducir el stock muerto gracias al ERP.,positivo,0.7303,pysentimiento
557,El consultor fue amable pero no tenía respuestas técnicas.,neutro,0.0,pysentimiento
558,Tuvimos que rehacer la configuración de almacenes por errores internos.,negativo,-0.888,pysentimiento
559,"La herramienta vuela, la optimización fue impecable. ⚡",positivo,0.8813,pysentimiento
560,"El soporte técnico es aceptable, aunque tardan en responder.",positivo,0.5436,pysentimiento
561,Siento que el sistema es más una carga que una ayuda ahora mismo.,negativo,-0.9729,pysentimiento
562,Excelente comunicación a través de Teams.,positivo,0.8653,pysentimiento
563,La parametrización de los impuestos es correcta y legal.,neutro,0.0,pysentimiento
564,El despliegue fue improvisado y se notó la falta de experiencia.,negativo,-0.9038,pysentimiento
565,El software hace lo que dice el manual de Odoo.,neutro,0.0,vader
566,"No recomiendo a esta empresa, no entienden de logística.",negativo,-0.9408,pysentimiento
567,El proceso de implementación fue lineal y predecible.,negativo,-0.845,pysentimiento
568,¡Impresionante! El control de calidad mejoró un 20%.,positivo,0.8953,pysentimiento
569,El sistema es inestable en horas de cierre mensual.,neutro,0.0,vader
570,Recibimos la documentación técnica el viernes.,neutro,0.0,pysentimiento
571,"La interfaz es limpia, pero el flujo de ventas es confuso.",neutro,0.0,vader
572,"Un trabajo impecable, el sistema quedó a medida. 🚀",positivo,0.7823,pysentimiento
573,La migración de clientes fue un proceso lento y con errores.,negativo,-0.9474,pysentimiento
574,"El servicio fue neutro, hicieron lo justo y necesario.",neutro,0.0,vader
575,Me encanta la flexibilidad de los reportes personalizados.,neutro,0.0,vader
576,El soporte es inexistente una vez que termina la garantía.,negativo,-0.6871,pysentimiento
577,La transición al nuevo sistema fue fluida.,positivo,0.7869,pysentimiento
578,"El ERP es potente, pero la implementación fue muy apresurada.",negativo,-0.7834,pysentimiento
579,La capacitación fue insuficiente para el personal operativo.,negativo,-0.958,pysentimiento
580,Súper satisfechos con el resultado final del proyecto.,positivo,0.9625,pysentimiento
581,El módulo de compras es redundante para nuestro proceso.,positivo,0.7341,pysentimiento
582,El despliegue fue correcto y en el tiempo acordado.,neutro,0.0,vader
583,No saben configurar el flujo de aprobación de facturas.,negativo,-0.9091,pysentimiento
584,El sistema es intuitivo y la adopción fue rápida.,positivo,0.5608,pysentimiento
585,Me siento defraudado por la falta de seguimiento post-venta.,neutro,0.0,vader
586,El servicio fue adecuado para el costo pagado.,neutro,0.0,vader
587,¡Qué gran equipo! Resolvieron el problema de la API en horas.,positivo,0.8225,pysentimiento
588,El software es estable pero la UI es un poco saturada.,neutro,0.0,vader
589,Tuvimos una reunión de seguimiento cada dos semanas.,neutro,0.0,pysentimiento
590,La configuración de los usuarios quedó perfecta.,positivo,0.9385,pysentimiento
591,"El despliegue fue un caos total, no hubo plan de rollback.",negativo,-0.3597,vader
592,"La calidad del servicio es excepcional, muy recomendados.",neutro,0.0,vader
593,"Odoo es bueno, pero el soporte de esta empresa es pobre.",neutro,0.0,vader
594,El sistema responde bien bajo carga de usuarios.,neutro,0.0,vader
595,"La implementación fue estándar, sin personalizaciones.",negativo,-0.5031,pysentimiento
596,Siento que el proyecto se alargó por falta de organización.,negativo,-0.9737,pysentimiento
597,La configuración de los dashboards es una maravilla. 📊,positivo,0.8026,pysentimiento
598,El soporte técnico es lento y poco resolutivo.,negativo,-0.9667,pysentimiento
599,Recibimos el acceso al sistema en la fecha pactada.,neutro,0.0,vader
600,"El servicio fue top, el despliegue fue quirúrgico.",positivo,0.937,pysentimiento
601,No entienden la diferencia entre un pedido y una cotización.,negativo,-0.7522,pysentimiento
602,"La herramienta es potente, aunque la curva de aprendizaje es alta.",neutro,0.0,vader
603,Logramos optimizar la cadena de suministro. ¡Genial!,positivo,0.9656,pysentimiento
604,El sistema tiene bugs que afectan el cierre de mes.,neutro,0.0,vader
605,La implementación fue satisfactoria en general.,positivo,0.9461,pysentimiento
606,El equipo de trabajo fue coordinado y puntual.,neutro,0.0,vader
607,Me parece que la versión nube es más lenta que la local.,negativo,-0.9049,pysentimiento
608,Tuvimos que contratar a otro consultor para arreglar los errores.,neutro,0.0,vader
609,"El servicio de implementación fue neutro, cumplieron lo pactado.",neutro,0.0,pysentimiento
610,El módulo de ventas es lo mejor de todo el sistema.,positivo,0.9447,pysentimiento
611,Demasiada resistencia al cambio por una mala capacitación.,negativo,-0.9329,pysentimiento
612,El software funciona correctamente en móviles.,neutro,0.0,pysentimiento
613,"Un servicio deficiente, no respondieron a los tickets urgentes.",negativo,-0.296,vader
614,La transición fue sin dramas.,neutro,0.0,pysentimiento
615,El costo final excedió el presupuesto inicial.,negativo,-0.7465,pysentimiento
616,El ERP es intuitivo y el equipo lo usa bien.,neutro,0.0,vader
617,La configuración de almacenes es un desastre.,negativo,-0.9711,pysentimiento
618,El servicio fue adecuado para las necesidades de la pyme.,neutro,0.0,vader
619,El consultor demostró mucha experiencia en retail.,positivo,0.7154,pysentimiento
620,Tardaron demasiado en aplicar los cambios solicitados.,neutro,0.0,vader
621,Mal.,neutro,0.0,vader
622,¡Súper! 🌟,neutro,0.0,pysentimiento
623,Normal.,neutro,0.0,vader
624,No sirve.,negativo,-0.296,vader
625,Excelente trabajo.,neutro,0.0,vader
626,Mucho mejor que el Excel que usábamos antes.,positivo,0.6817,pysentimiento
627,"Agradecemos el esfuerzo, pero los resultados no son los esperados.",negativo,-0.296,vader
628,"El sistema es estable, aunque la velocidad de respuesta es mediocre.",neutro,0.0,vader
629,Peor que SAP en cuanto a soporte técnico.,negativo,-0.9547,pysentimiento
630,Muy bien.,neutro,0.0,vader
631,No recomiendo.,negativo,-0.296,vader
632,"El módulo de ventas es top, pero la contabilidad es un desastre.",negativo,-0.8218,pysentimiento
633,Regular.,neutro,0.0,vader
634,¡LA MEJOR INVERSIÓN DEL AÑO! 🚀,positivo,0.7959,pysentimiento
635,Sigue sin funcionar el módulo de nómina.,negativo,-0.9055,pysentimiento
636,Es aceptable.,neutro,0.0,vader
637,"El servicio fue cordial, aunque la efectividad dejó mucho que desear.",positivo,0.675,pysentimiento
638,Me encanta.,neutro,0.0,vader
639,Odio este sistema.,neutro,0.0,vader
640,Ni fu ni fa.,negativo,-0.6908,vader
641,Parecido a Dynamics pero mucho más ágil en la implementación.,neutro,0.0,pysentimiento
642,"Quedamos a la espera de una solución real, no de más promesas.",negativo,-0.669,pysentimiento
643,Impecable.,neutro,0.0,vader
644,Un horror.,negativo,-0.5719,vader
645,Estándar.,neutro,0.0,pysentimiento
646,"La migración fue rápida, pero los datos quedaron mal mapeados.",negativo,-0.8402,pysentimiento
647,Satisfecho.,neutro,0.0,vader
648,Frustrado.,neutro,0.0,vader
649,CUMPLE.,neutro,0.0,vader
650,No llega al nivel de profesionalismo que prometieron en la demo.,negativo,-0.296,vader
651,"El despliegue fue quirúrgico, cero errores.",positivo,0.6545,pysentimiento
652,Demasiado lento.,neutro,0.0,vader
653,Es lo que hay.,neutro,0.0,vader
654,Me sorprendió gratamente la capacidad del consultor.,positivo,0.9711,pysentimiento
655,No entiendo por qué costó tanto dinero si es tan básico.,negativo,-0.9263,pysentimiento
656,Perfecto.,positivo,0.3182,vader
657,Inaceptable.,neutro,0.0,vader
658,Todo en orden.,neutro,0.0,vader
659,"Me gusta la herramienta, pero el soporte es un cuello de botella.",neutro,0.0,vader
660,Increíble.,positivo,0.5705,pysentimiento
661,Decepcionante.,neutro,0.0,vader
662,Pasable.,neutro,0.0,vader
663,Siento que estamos aprendiendo a usar el sistema a costa de nuestros errores.,neutro,0.0,vader
664,"El ROI es impresionante, gracias equipo.",neutro,0.0,vader
665,Tardaron demasiado.,neutro,0.0,vader
666,Sin novedades.,negativo,-0.5574,vader
667,"El módulo de CRM es una maravilla, el de inventarios es un laberinto.",positivo,0.6541,pysentimiento
668,Genial.,positivo,0.4215,vader
669,Pésimo.,negativo,-0.9039,pysentimiento
670,Meh.,negativo,-0.0772,vader
671,"La interfaz es moderna, pero el flujo de procesos es arcaico.",neutro,0.0,vader
672,Muy profesional.,neutro,0.0,vader
673,Nada recomendable.,neutro,0.0,vader
674,Correcto.,neutro,0.0,vader
675,"Sinceramente, prefería el sistema viejo que al menos funcionaba.",neutro,0.0,pysentimiento
676,10/10.,neutro,0.0,vader
677,0/10.,neutro,0.0,vader
678,Suficiente.,neutro,0.0,vader
679,"El despliegue fue exitoso, pero la capacitación fue un chiste.",negativo,-0.5587,pysentimiento
680,Fantástico.,positivo,0.4892,pysentimiento
681,Mediocre.,neutro,0.0,vader
682,Como siempre.,neutro,0.0,vader
683,"El equipo técnico es brillante, pero la gestión del proyecto fue un caos.",negativo,-0.9255,pysentimiento
684,Súper eficiente.,positivo,0.7055,pysentimiento
685,Muy ineficiente.,neutro,0.0,vader
686,Aceptable.,neutro,0.0,vader
687,Me parece increíble que sigan sin resolver el bug de la factura electrónica.,negativo,-0.978,pysentimiento
688,Espléndido.,positivo,0.5025,pysentimiento
689,Desastroso.,neutro,0.0,vader
690,Ni bueno ni malo.,neutro,0.0,vader
691,"Odoo es potente, pero la implementación de ustedes fue muy superficial.",negativo,-0.928,pysentimiento
692,Muy contento.,neutro,0.0,vader
693,Muy molesto.,neutro,0.0,vader
694,Normalito.,neutro,0.0,vader
695,"El soporte es amable, pero no soluciona los problemas de fondo.",negativo,-0.296,vader
696,Brillante.,neutro,0.0,vader
697,Horrible.,negativo,-0.5423,vader
698,Sencillo.,neutro,0.0,vader
699,Siento que nos vendieron un Ferrari pero nos entregaron un coche usado.,neutro,0.0,vader
700,Magnífico.,neutro,0.0,pysentimiento
701,Lamentable.,negativo,-0.3612,vader
702,Estable.,neutro,0.0,vader
703,"La automatización de marketing funciona, pero el CRM es confuso.",negativo,-0.5336,pysentimiento
704,Impresionante.,neutro,0.0,vader
705,Deplorable.,neutro,0.0,vader
706,Apropiado.,neutro,0.0,vader
707,"El consultor sabe mucho, pero no tiene paciencia para enseñar.",negativo,-0.7812,pysentimiento
708,Espectacular.,neutro,0.0,vader
709,Vergonzoso.,neutro,0.0,vader
710,Suficiente.,neutro,0.0,vader
711,"La integración con Shopify fue un éxito total, el resto es regular.",positivo,0.9441,pysentimiento
712,Maravilloso.,neutro,0.0,vader
713,Inútil.,negativo,-0.4476,pysentimiento
714,Promedio.,neutro,0.0,vader
715,Gracias por hacernos perder tres meses de trabajo con una mala configuración.,negativo,-0.9681,pysentimiento
716,Top.,positivo,0.2023,vader
717,Basura.,neutro,0.0,vader
718,Operativo.,neutro,0.0,vader
719,"El sistema vuela, pero el soporte tarda siglos en responder.",neutro,0.0,vader
720,Excepcional.,neutro,0.0,vader
721,Nulo.,neutro,0.0,vader
722,Sistemático.,negativo,-0.6369,pysentimiento
723,"Me encanta la flexibilidad, pero odio la complejidad de la configuración.",neutro,0.0,pysentimiento
724,Súper rápido.,neutro,0.0,pysentimiento
725,Súper lento.,negativo,-0.6652,pysentimiento
726,Equilibrado.,neutro,0.0,vader
727,No sé si llamar a esto una implementación o un experimento.,neutro,0.0,pysentimiento
728,Perfectamente configurado.,neutro,0.0,vader
729,Mal parametrizado.,neutro,0.0,vader
730,Funcional.,neutro,0.0,vader
731,"El software es una joya, pero el consultor no sabía de impuestos locales.",neutro,0.0,pysentimiento
732,Muy útil.,positivo,0.9335,pysentimiento
733,Nada útil.,negativo,-0.4559,pysentimiento
734,Sostenible.,neutro,0.0,vader
735,"El despliegue en Odoo.sh fue impecable, la capacitación fue nula.",negativo,-0.9484,pysentimiento
736,Satisfecho al 100%.,neutro,0.0,vader
737,Insatisfecho al 100%.,neutro,0.0,vader
738,Cumple el contrato.,neutro,0.0,vader
739,"El go-live fue un éxito total, todo salió según el plan.",positivo,0.9684,pysentimiento
740,"El training fue muy flojo, no entendimos el flujo de los workflows.",negativo,-0.296,vader
741,"Sinceramente, el deployment fue un desastre, hubo demasiados bugs.",neutro,0.0,vader
742,"La configuración del backend es estable, nada que reportar.",neutro,0.0,pysentimiento
